L I	L III	L II(Calc.)
-0.065918	0.0305176	-0.0354004
-0.0643921	0.0308228	-0.0335693
-0.0631714	0.0311279	-0.0320435
-0.062561	0.0317383	-0.0308228
-0.0622559	0.0323486	-0.0299072
-0.0622559	0.032959	-0.0292969
-0.0619507	0.0332642	-0.0286865
-0.0604248	0.0335693	-0.0268555
-0.0579834	0.0338745	-0.0241089
-0.0552368	0.0335693	-0.0216675
-0.0531006	0.032959	-0.0201416
-0.0515747	0.0323486	-0.0192261
-0.0494385	0.0314331	-0.0180054
-0.0469971	0.0311279	-0.0158691
-0.0442505	0.0308228	-0.0134277
-0.0418091	0.0305176	-0.0112915
-0.0396729	0.0299072	-0.00976563
-0.0375366	0.0289917	-0.00854492
-0.0357056	0.0280762	-0.00762939
-0.0341797	0.0271606	-0.00701904
-0.0338745	0.0268555	-0.00701904
-0.0338745	0.0262451	-0.00762939
-0.0335693	0.0256348	-0.00793457
-0.0335693	0.0253296	-0.00823975
-0.0338745	0.0253296	-0.00854492
-0.03479	0.0253296	-0.00946045
-0.0363159	0.0256348	-0.0106812
-0.0378418	0.0259399	-0.0119019
-0.0372314	0.0259399	-0.0112915
-0.0357056	0.0256348	-0.0100708
-0.0344849	0.0253296	-0.00915527
-0.0338745	0.0253296	-0.00854492
-0.0332642	0.0253296	-0.00793457
-0.0317383	0.0253296	-0.00640869
-0.0296021	0.0253296	-0.00427246
-0.027771	0.0256348	-0.00213623
-0.0265503	0.0265503	0
-0.0262451	0.0274658	0.0012207
-0.0265503	0.0283813	0.00183105
-0.0274658	0.0286865	0.0012207
-0.0286865	0.0289917	0.000305176
-0.0299072	0.0292969	-0.000610352
-0.0311279	0.0296021	-0.00152588
-0.0320435	0.0292969	-0.00274658
-0.032959	0.0286865	-0.00427246
-0.0335693	0.0283813	-0.00518799
-0.0335693	0.0274658	-0.00610352
-0.0335693	0.0268555	-0.00671387
-0.0341797	0.0256348	-0.00854492
-0.0360107	0.0244141	-0.0115967
-0.0378418	0.0234985	-0.0143433
-0.0384521	0.0222778	-0.0161743
-0.0384521	0.0210571	-0.017395
-0.038147	0.0201416	-0.0180054
-0.038147	0.0198364	-0.0183105
-0.0384521	0.0198364	-0.0186157
-0.0378418	0.0195313	-0.0183105
-0.0366211	0.0195313	-0.0170898
-0.0357056	0.0192261	-0.0164795
-0.0354004	0.0195313	-0.0158691
-0.0357056	0.0201416	-0.015564
-0.0354004	0.0201416	-0.0152588
-0.0354004	0.0198364	-0.015564
-0.0363159	0.0186157	-0.0177002
-0.038147	0.017395	-0.020752
-0.0396729	0.0164795	-0.0231934
-0.0408936	0.0152588	-0.0256348
-0.0424194	0.0140381	-0.0283813
-0.0442505	0.0128174	-0.0314331
-0.0469971	0.0115967	-0.0354004
-0.0500488	0.0109863	-0.0390625
-0.0521851	0.010376	-0.0418091
-0.0527954	0.010376	-0.0424194
-0.0527954	0.0100708	-0.0427246
-0.0527954	0.00976563	-0.0430298
-0.0521851	0.00976563	-0.0424194
-0.0509644	0.00946045	-0.0415039
-0.0497437	0.00946045	-0.0402832
-0.0491333	0.00946045	-0.0396729
-0.0485229	0.00946045	-0.0390625
-0.0479126	0.00946045	-0.0384521
-0.0473022	0.00976563	-0.0375366
-0.0476074	0.010376	-0.0372314
