L I	L III	L II(Calc.)
-0.0491333	0.0106812	-0.0384521
-0.0509644	0.0109863	-0.039978
-0.0518799	0.0106812	-0.0411987
-0.0521851	0.010376	-0.0418091
-0.0524902	0.010376	-0.0421143
-0.0527954	0.0100708	-0.0427246
-0.0527954	0.00976563	-0.0430298
-0.0518799	0.00915527	-0.0427246
-0.0506592	0.0088501	-0.0418091
-0.050354	0.00823975	-0.0421143
-0.0515747	0.00823975	-0.043335
-0.0531006	0.00762939	-0.0454712
-0.0534058	0.00701904	-0.0463867
-0.0531006	0.00610352	-0.0469971
-0.0524902	0.00518799	-0.0473022
-0.0521851	0.00427246	-0.0479126
-0.0518799	0.00335693	-0.0485229
-0.0515747	0.00244141	-0.0491333
-0.0506592	0.0012207	-0.0494385
-0.0491333	0	-0.0491333
-0.0479126	-0.000305176	-0.0482178
-0.0469971	-0.000305176	-0.0473022
-0.0460815	0	-0.0460815
-0.0448608	0	-0.0448608
-0.0442505	0	-0.0442505
-0.0439453	-0.000305176	-0.0442505
-0.0448608	-0.000305176	-0.045166
-0.0457764	-0.000305176	-0.0460815
-0.0454712	-0.000610352	-0.0460815
-0.045166	-0.0012207	-0.0463867
-0.0454712	-0.00152588	-0.0469971
-0.0460815	-0.00213623	-0.0482178
-0.0457764	-0.00244141	-0.0482178
-0.045166	-0.00274658	-0.0479126
-0.0445557	-0.00335693	-0.0479126
-0.043335	-0.00366211	-0.0469971
-0.0415039	-0.00427246	-0.0457764
-0.0390625	-0.00457764	-0.0436401
-0.0369263	-0.00427246	-0.0411987
-0.0354004	-0.00427246	-0.0396729
-0.03479	-0.00396729	-0.0387573
-0.0344849	-0.00396729	-0.0384521
-0.0341797	-0.00427246	-0.0384521
-0.0335693	-0.00396729	-0.0375366
-0.0320435	-0.00335693	-0.0354004
-0.0302124	-0.00213623	-0.0323486
-0.0280762	-0.000610352	-0.0286865
-0.0253296	0.00152588	-0.0238037
-0.022583	0.00427246	-0.0183105
-0.0192261	0.00732422	-0.0119019
-0.0158691	0.0109863	-0.00488281
-0.0125122	0.0149536	0.00244141
-0.00976563	0.0192261	0.00946045
-0.00793457	0.0238037	0.0158691
-0.00610352	0.0286865	0.022583
-0.00518799	0.0332642	0.0280762
-0.00488281	0.0372314	0.0323486
-0.00518799	0.0408936	0.0357056
-0.00518799	0.0442505	0.0390625
-0.00335693	0.0469971	0.0436401
0	0.0494385	0.0494385
0.00305176	0.0512695	0.0543213
0.00640869	0.0524902	0.0588989
0.0106812	0.0527954	0.0634766
0.0167847	0.0524902	0.0692749
0.0238037	0.0518799	0.0756836
0.0302124	0.0512695	0.0814819
0.0350952	0.050354	0.0854492
0.0390625	0.0491333	0.0881958
0.0418091	0.0460815	0.0878906
0.043335	0.0418091	0.085144
0.043335	0.0372314	0.0805664
0.0418091	0.0323486	0.0741577
0.038147	0.027771	0.065918
0.0341797	0.0228882	0.0570679
0.0302124	0.017395	0.0476074
0.0262451	0.0115967	0.0378418
0.0216675	0.00579834	0.0274658
0.017395	0.000915527	0.0183105
0.0137329	-0.00366211	0.0100708
0.00976563	-0.00732422	0.00244141
0.00518799	-0.0100708	-0.00488281
0.000610352	-0.012207	-0.0115967
-0.00457764	-0.0140381	-0.0186157
-0.0100708	-0.015564	-0.0256348
-0.0152588	-0.0170898	-0.0323486
-0.0201416	-0.0186157	-0.0387573
-0.0253296	-0.0198364	-0.045166
-0.0305176	-0.0210571	-0.0515747
-0.0350952	-0.0222778	-0.057373
-0.038147	-0.0234985	-0.0616455
-0.0393677	-0.0244141	-0.0637817
-0.0402832	-0.0250244	-0.0653076
-0.0408936	-0.0253296	-0.0662231
-0.0418091	-0.0253296	-0.0671387
-0.0430298	-0.0247192	-0.067749
-0.0442505	-0.0241089	-0.0683594
-0.0457764	-0.0231934	-0.0689697
-0.0473022	-0.0222778	-0.0695801
-0.0482178	-0.0213623	-0.0695801
-0.0479126	-0.0210571	-0.0689697
-0.0469971	-0.020752	-0.067749
-0.0466919	-0.0198364	-0.0665283
-0.0466919	-0.0192261	-0.065918
-0.0460815	-0.0183105	-0.0643921
-0.0448608	-0.0180054	-0.0628662
-0.0430298	-0.0183105	-0.0613403
-0.0424194	-0.0186157	-0.0610352
-0.0421143	-0.0189209	-0.0610352
-0.0421143	-0.0189209	-0.0610352
-0.0427246	-0.0186157	-0.0613403
-0.0427246	-0.0186157	-0.0613403
-0.0427246	-0.0192261	-0.0619507
-0.0427246	-0.020752	-0.0634766
-0.0424194	-0.0222778	-0.0646973
-0.0421143	-0.0234985	-0.0656128
-0.0424194	-0.0241089	-0.0665283
-0.0424194	-0.0241089	-0.0665283
-0.0430298	-0.0241089	-0.0671387
-0.0436401	-0.0238037	-0.0674438
-0.043335	-0.0231934	-0.0665283
-0.0418091	-0.0216675	-0.0634766
-0.039978	-0.0201416	-0.0601196
-0.0378418	-0.0189209	-0.0567627
-0.0357056	-0.0177002	-0.0534058
-0.0335693	-0.0177002	-0.0512695
-0.0308228	-0.0177002	-0.0485229
-0.0283813	-0.0186157	-0.0469971
-0.0262451	-0.0195313	-0.0457764
-0.0253296	-0.020752	-0.0460815
-0.0253296	-0.0222778	-0.0476074
-0.0256348	-0.0241089	-0.0497437
-0.0262451	-0.0256348	-0.0518799
-0.0274658	-0.0265503	-0.0540161
-0.0292969	-0.0265503	-0.0558472
-0.0314331	-0.0259399	-0.057373
-0.032959	-0.0253296	-0.0582886
-0.0344849	-0.0247192	-0.0592041
-0.0357056	-0.0231934	-0.0588989
-0.0363159	-0.0204468	-0.0567627
-0.0360107	-0.0149536	-0.0509644
-0.0344849	-0.00793457	-0.0424194
-0.0314331	0.000305176	-0.0311279
-0.0256348	0.00946045	-0.0161743
-0.0164795	0.0189209	0.00244141
-0.00244141	0.0274658	0.0250244
0.0177002	0.032959	0.0506592
0.045166	0.03479	0.0799561
0.0787354	0.032959	0.111694
0.116882	0.0292969	0.146179
0.158997	0.0259399	0.184937
0.203552	0.0222778	0.22583
0.248413	0.0140381	0.262451
0.290527	-0.00213623	0.288391
0.326233	-0.0250244	0.301208
0.352173	-0.0515747	0.300598
0.365295	-0.0762939	0.289001
0.360718	-0.0973511	0.263367
0.336304	-0.115051	0.221252
0.293884	-0.1297	0.164185
0.235596	-0.139465	0.0961304
0.1651	-0.142517	0.022583
0.0878906	-0.137939	-0.0500488
0.0106812	-0.125122	-0.114441
-0.0598145	-0.104065	-0.163879
-0.118408	-0.0772095	-0.195618
-0.161438	-0.0482178	-0.209656
-0.185547	-0.020752	-0.206299
-0.189819	0.0012207	-0.188599
-0.176697	0.0161743	-0.160522
-0.150757	0.0234985	-0.127258
-0.115662	0.0244141	-0.0912476
-0.0769043	0.0198364	-0.0570679
-0.0396729	0.0112915	-0.0283813
-0.00793457	0.000610352	-0.00732422
0.0152588	-0.00976563	0.00549316
0.0292969	-0.0186157	0.0106812
0.0360107	-0.0253296	0.0106812
0.0360107	-0.0296021	0.00640869
0.0308228	-0.0314331	-0.000610352
0.0228882	-0.0314331	-0.00854492
0.0149536	-0.0302124	-0.0152588
0.00732422	-0.0286865	-0.0213623
0.00152588	-0.0271606	-0.0256348
-0.0012207	-0.0259399	-0.0271606
-0.00183105	-0.0253296	-0.0271606
-0.000915527	-0.0256348	-0.0265503
0.000915527	-0.0262451	-0.0253296
0.00335693	-0.0268555	-0.0234985
0.00640869	-0.027771	-0.0213623
0.00946045	-0.0283813	-0.0189209
0.0125122	-0.0289917	-0.0164795
0.015564	-0.0292969	-0.0137329
0.0183105	-0.0299072	-0.0115967
0.0195313	-0.0308228	-0.0112915
0.0192261	-0.0311279	-0.0119019
0.0180054	-0.0317383	-0.0137329
0.0170898	-0.0323486	-0.0152588
0.0167847	-0.0326538	-0.0158691
0.0167847	-0.0326538	-0.0158691
0.0161743	-0.0326538	-0.0164795
0.0149536	-0.0323486	-0.017395
0.0143433	-0.0314331	-0.0170898
0.0158691	-0.0305176	-0.0146484
0.0183105	-0.0296021	-0.0112915
0.0210571	-0.0283813	-0.00732422
0.0228882	-0.0265503	-0.00366211
0.0241089	-0.0244141	-0.000305176
0.0262451	-0.0228882	0.00335693
0.0289917	-0.0216675	0.00732422
0.0305176	-0.0213623	0.00915527
0.0317383	-0.0213623	0.010376
0.0317383	-0.0213623	0.010376
0.0311279	-0.0219727	0.00915527
0.0299072	-0.0228882	0.00701904
0.0289917	-0.0238037	0.00518799
0.027771	-0.0247192	0.00305176
0.0268555	-0.0253296	0.00152588
0.0280762	-0.0262451	0.00183105
0.0302124	-0.0268555	0.00335693
0.0332642	-0.0274658	0.00579834
0.0360107	-0.027771	0.00823975
0.0390625	-0.0280762	0.0109863
0.0424194	-0.0280762	0.0143433
0.0460815	-0.0280762	0.0180054
0.0488281	-0.0280762	0.020752
0.0500488	-0.027771	0.0222778
0.0506592	-0.0271606	0.0234985
0.0509644	-0.0265503	0.0244141
0.0515747	-0.0259399	0.0256348
0.0515747	-0.0250244	0.0265503
0.0515747	-0.0244141	0.0271606
0.0527954	-0.0234985	0.0292969
0.0552368	-0.0231934	0.0320435
0.0585938	-0.0231934	0.0354004
0.0622559	-0.0238037	0.0384521
0.0662231	-0.0244141	0.0418091
0.0698853	-0.0250244	0.0448608
0.072937	-0.0250244	0.0479126
0.0747681	-0.0253296	0.0494385
0.0756836	-0.0253296	0.050354
0.0765991	-0.0256348	0.0509644
0.0769043	-0.0256348	0.0512695
0.0772095	-0.0250244	0.0521851
0.078125	-0.0244141	0.0537109
0.0796509	-0.0241089	0.055542
0.0814819	-0.0238037	0.0576782
0.0839233	-0.0234985	0.0604248
0.0875854	-0.0234985	0.0640869
0.0918579	-0.0238037	0.0680542
0.0964355	-0.0238037	0.0726318
0.101013	-0.0244141	0.0765991
0.10498	-0.0250244	0.0799561
0.107727	-0.0256348	0.0820923
0.109863	-0.0262451	0.0836182
0.11261	-0.0271606	0.0854492
0.116272	-0.0286865	0.0875854
0.120239	-0.0302124	0.0900269
0.124512	-0.0323486	0.0921631
0.128784	-0.0350952	0.093689
0.132751	-0.0372314	0.09552
0.136108	-0.0390625	0.0970459
0.139771	-0.0405884	0.0991821
0.144958	-0.0418091	0.103149
0.150452	-0.0427246	0.107727
0.155029	-0.043335	0.111694
0.158081	-0.0439453	0.114136
0.160828	-0.0442505	0.116577
0.165405	-0.045166	0.120239
0.171509	-0.0463867	0.125122
0.177917	-0.0476074	0.13031
0.184021	-0.0488281	0.135193
0.19043	-0.0500488	0.140381
0.197754	-0.0515747	0.146179
0.205994	-0.0534058	0.152588
0.213928	-0.0549316	0.158997
0.221252	-0.0567627	0.16449
0.227661	-0.0579834	0.169678
0.233154	-0.0592041	0.17395
0.237732	-0.0601196	0.177612
0.242004	-0.0610352	0.180969
0.245667	-0.0622559	0.183411
0.249023	-0.0631714	0.185852
0.25177	-0.0637817	0.187988
0.254211	-0.0646973	0.189514
0.256653	-0.0656128	0.19104
0.258789	-0.0665283	0.192261
0.26123	-0.0674438	0.193787
0.263062	-0.0683594	0.194702
0.264282	-0.0689697	0.195313
0.265503	-0.0692749	0.196228
0.267944	-0.0692749	0.198669
0.270996	-0.0692749	0.201721
0.272827	-0.0692749	0.203552
0.273438	-0.0680542	0.205383
0.272522	-0.065918	0.206604
0.271606	-0.062561	0.209045
0.270691	-0.0582886	0.212402
0.268555	-0.0531006	0.215454
0.263977	-0.0469971	0.21698
0.256653	-0.0402832	0.21637
0.247498	-0.032959	0.214539
0.237427	-0.0256348	0.211792
0.22644	-0.0183105	0.20813
0.214233	-0.0112915	0.202942
0.200195	-0.00488281	0.195313
0.184937	0.00152588	0.186462
0.168457	0.00823975	0.176697
0.151062	0.0149536	0.166016
0.133362	0.0210571	0.154419
0.116272	0.0265503	0.142822
0.100403	0.0314331	0.131836
0.085144	0.0360107	0.121155
0.0698853	0.039978	0.109863
0.0558472	0.0430298	0.098877
0.0439453	0.045166	0.0891113
0.0341797	0.0466919	0.0808716
0.0247192	0.0476074	0.0723267
0.0164795	0.0476074	0.0640869
0.00946045	0.0466919	0.0561523
0.00305176	0.0457764	0.0488281
-0.00305176	0.0448608	0.0418091
-0.00915527	0.0439453	0.03479
-0.0149536	0.043335	0.0283813
-0.0213623	0.0430298	0.0216675
-0.0280762	0.0430298	0.0149536
-0.03479	0.0436401	0.0088501
-0.0405884	0.0442505	0.00366211
-0.0463867	0.0454712	-0.000915527
-0.0515747	0.0463867	-0.00518799
-0.0561523	0.0466919	-0.00946045
-0.0592041	0.0460815	-0.0131226
-0.0610352	0.0448608	-0.0161743
-0.0616455	0.0427246	-0.0189209
-0.0619507	0.0408936	-0.0210571
-0.0616455	0.0390625	-0.022583
-0.06073	0.0369263	-0.0238037
-0.0592041	0.0344849	-0.0247192
-0.0570679	0.0326538	-0.0244141
-0.0549316	0.0311279	-0.0238037
-0.0537109	0.0308228	-0.0228882
-0.0534058	0.0308228	-0.022583
-0.0534058	0.0308228	-0.022583
-0.0531006	0.0305176	-0.022583
-0.0524902	0.0299072	-0.022583
-0.0527954	0.0296021	-0.0231934
-0.0534058	0.0292969	-0.0241089
-0.0540161	0.0289917	-0.0250244
-0.0540161	0.0283813	-0.0256348
-0.0531006	0.0274658	-0.0256348
-0.0512695	0.0268555	-0.0244141
-0.0497437	0.0268555	-0.0228882
-0.0491333	0.0271606	-0.0219727
-0.0485229	0.0274658	-0.0210571
-0.0476074	0.027771	-0.0198364
-0.0463867	0.0283813	-0.0180054
-0.0448608	0.0289917	-0.0158691
-0.0424194	0.0292969	-0.0131226
-0.0405884	0.0292969	-0.0112915
-0.0396729	0.0286865	-0.0109863
-0.0396729	0.027771	-0.0119019
-0.0393677	0.0268555	-0.0125122
-0.0375366	0.0262451	-0.0112915
-0.0354004	0.0262451	-0.00915527
-0.0335693	0.0259399	-0.00762939
-0.0320435	0.0256348	-0.00640869
-0.0302124	0.0250244	-0.00518799
-0.0286865	0.0244141	-0.00427246
-0.027771	0.0241089	-0.00366211
-0.0265503	0.0238037	-0.00274658
-0.0256348	0.0231934	-0.00244141
-0.0250244	0.0228882	-0.00213623
-0.0244141	0.022583	-0.00183105
-0.0234985	0.0222778	-0.0012207
-0.0228882	0.0216675	-0.0012207
-0.022583	0.0210571	-0.00152588
-0.0228882	0.0210571	-0.00183105
-0.0228882	0.0213623	-0.00152588
-0.0222778	0.022583	0.000305176
-0.022583	0.0241089	0.00152588
-0.0238037	0.0259399	0.00213623
-0.0247192	0.0274658	0.00274658
-0.0244141	0.0280762	0.00366211
-0.0231934	0.0280762	0.00488281
-0.0216675	0.0280762	0.00640869
-0.0204468	0.0280762	0.00762939
-0.0189209	0.0274658	0.00854492
-0.0180054	0.0265503	0.00854492
-0.017395	0.0253296	0.00793457
-0.0177002	0.0234985	0.00579834
-0.0183105	0.0213623	0.00305176
-0.0186157	0.0192261	0.000610352
-0.0183105	0.0177002	-0.000610352
-0.0186157	0.0164795	-0.00213623
-0.0201416	0.0152588	-0.00488281
-0.0228882	0.0146484	-0.00823975
-0.0253296	0.0140381	-0.0112915
-0.0265503	0.0137329	-0.0128174
-0.0268555	0.0131226	-0.0137329
-0.0268555	0.012207	-0.0146484
-0.0274658	0.0112915	-0.0161743
-0.0286865	0.0106812	-0.0180054
-0.0292969	0.0100708	-0.0192261
-0.0302124	0.00946045	-0.020752
-0.0323486	0.00854492	-0.0238037
-0.0354004	0.00762939	-0.027771
-0.0375366	0.00640869	-0.0311279
-0.038147	0.00488281	-0.0332642
-0.0378418	0.00335693	-0.0344849
-0.0372314	0.00213623	-0.0350952
-0.0369263	0.00152588	-0.0354004
-0.0366211	0.000915527	-0.0357056
-0.0354004	0.000915527	-0.0344849
-0.0344849	0.0012207	-0.0332642
-0.0341797	0.00183105	-0.0323486
-0.03479	0.00213623	-0.0326538
-0.0357056	0.00274658	-0.032959
-0.0363159	0.00305176	-0.0332642
-0.0375366	0.00366211	-0.0338745
-0.0390625	0.00366211	-0.0354004
-0.0411987	0.00305176	-0.038147
-0.0436401	0.00213623	-0.0415039
-0.0454712	0.000610352	-0.0448608
-0.0466919	-0.000610352	-0.0473022
-0.0473022	-0.00213623	-0.0494385
-0.0479126	-0.00305176	-0.0509644
-0.0476074	-0.00335693	-0.0509644
-0.0469971	-0.00396729	-0.0509644
-0.0460815	-0.00396729	-0.0500488
-0.045166	-0.00396729	-0.0491333
-0.0445557	-0.00335693	-0.0479126
-0.0439453	-0.00305176	-0.0469971
-0.043335	-0.00274658	-0.0460815
-0.0421143	-0.00305176	-0.045166
-0.0405884	-0.00335693	-0.0439453
-0.0390625	-0.00335693	-0.0424194
-0.0387573	-0.00366211	-0.0424194
-0.0393677	-0.00427246	-0.0436401
-0.0411987	-0.00488281	-0.0460815
-0.0430298	-0.00518799	-0.0482178
-0.0436401	-0.00518799	-0.0488281
-0.0439453	-0.00549316	-0.0494385
-0.0439453	-0.00549316	-0.0494385
-0.0436401	-0.00579834	-0.0494385
-0.0430298	-0.00579834	-0.0488281
-0.0430298	-0.00549316	-0.0485229
-0.043335	-0.00518799	-0.0485229
-0.0424194	-0.00457764	-0.0469971
-0.0408936	-0.00366211	-0.0445557
-0.0402832	-0.00305176	-0.043335
-0.0405884	-0.00274658	-0.043335
-0.0408936	-0.00244141	-0.043335
-0.0405884	-0.00274658	-0.043335
-0.039978	-0.00335693	-0.043335
-0.0387573	-0.00366211	-0.0424194
-0.0366211	-0.00427246	-0.0408936
-0.0338745	-0.00457764	-0.0384521
-0.0302124	-0.00396729	-0.0341797
-0.0256348	-0.00213623	-0.027771
-0.0210571	0.000915527	-0.0201416
-0.0170898	0.00579834	-0.0112915
-0.0143433	0.0119019	-0.00244141
-0.0119019	0.0186157	0.00671387
-0.00946045	0.0253296	0.0158691
-0.00762939	0.0317383	0.0241089
-0.00640869	0.038147	0.0317383
-0.00488281	0.043335	0.0384521
-0.00366211	0.0473022	0.0436401
-0.00244141	0.0494385	0.0469971
-0.000610352	0.0506592	0.0500488
0.00183105	0.0515747	0.0534058
0.00549316	0.0521851	0.0576782
0.00976563	0.0521851	0.0619507
0.0143433	0.0518799	0.0662231
0.0183105	0.0515747	0.0698853
0.0219727	0.0512695	0.0732422
0.0253296	0.0512695	0.0765991
0.0289917	0.050354	0.0793457
0.0332642	0.0485229	0.0817871
0.0372314	0.0454712	0.0827026
0.0402832	0.0411987	0.0814819
0.0427246	0.0350952	0.0778198
0.0439453	0.0274658	0.0714111
0.0448608	0.0198364	0.0646973
0.0448608	0.012207	0.0570679
0.0439453	0.00457764	0.0485229
0.0415039	-0.00213623	0.0393677
0.0375366	-0.00793457	0.0296021
0.0323486	-0.0128174	0.0195313
0.0268555	-0.0170898	0.00976563
0.020752	-0.0198364	0.000915527
0.0146484	-0.0216675	-0.00701904
0.00762939	-0.022583	-0.0149536
0.000610352	-0.0231934	-0.022583
-0.00579834	-0.0234985	-0.0292969
-0.0115967	-0.0244141	-0.0360107
-0.0167847	-0.0256348	-0.0424194
-0.0213623	-0.0268555	-0.0482178
-0.0253296	-0.0283813	-0.0537109
-0.0292969	-0.0299072	-0.0592041
-0.032959	-0.0314331	-0.0643921
-0.0360107	-0.0323486	-0.0683594
-0.038147	-0.0332642	-0.0714111
-0.039978	-0.0344849	-0.0744629
-0.0415039	-0.0350952	-0.0765991
-0.0427246	-0.0354004	-0.078125
-0.0439453	-0.0350952	-0.0790405
-0.0457764	-0.0350952	-0.0808716
-0.0460815	-0.0350952	-0.0811768
-0.0454712	-0.0354004	-0.0808716
-0.0442505	-0.0350952	-0.0793457
-0.0430298	-0.03479	-0.0778198
-0.0421143	-0.0341797	-0.0762939
-0.0418091	-0.0335693	-0.0753784
-0.0415039	-0.032959	-0.0744629
-0.039978	-0.0323486	-0.0723267
-0.0384521	-0.0317383	-0.0701904
-0.0372314	-0.0314331	-0.0686646
-0.0360107	-0.0317383	-0.067749
-0.0354004	-0.0320435	-0.0674438
-0.0354004	-0.0323486	-0.067749
-0.0354004	-0.0332642	-0.0686646
-0.03479	-0.03479	-0.0695801
-0.0341797	-0.0366211	-0.0708008
-0.03479	-0.0384521	-0.0732422
-0.0350952	-0.039978	-0.0750732
-0.03479	-0.0411987	-0.0759888
-0.0350952	-0.0424194	-0.0775146
-0.0357056	-0.0430298	-0.0787354
-0.0360107	-0.0430298	-0.0790405
-0.0354004	-0.0424194	-0.0778198
-0.0344849	-0.0418091	-0.0762939
-0.0335693	-0.0408936	-0.0744629
-0.0338745	-0.039978	-0.0738525
-0.03479	-0.0393677	-0.0741577
-0.0341797	-0.0387573	-0.072937
-0.0320435	-0.0387573	-0.0708008
-0.0302124	-0.0393677	-0.0695801
-0.0296021	-0.0405884	-0.0701904
-0.0296021	-0.0418091	-0.0714111
-0.0296021	-0.0427246	-0.0723267
-0.0296021	-0.0436401	-0.0732422
-0.0296021	-0.0442505	-0.0738525
-0.0292969	-0.0448608	-0.0741577
-0.0292969	-0.0448608	-0.0741577
-0.0299072	-0.0445557	-0.0744629
-0.0314331	-0.043335	-0.0747681
-0.0341797	-0.0411987	-0.0753784
-0.0357056	-0.0384521	-0.0741577
-0.0360107	-0.0335693	-0.0695801
-0.0350952	-0.0259399	-0.0610352
-0.0326538	-0.0164795	-0.0491333
-0.0299072	-0.00488281	-0.03479
-0.0253296	0.0088501	-0.0164795
-0.0167847	0.022583	0.00579834
-0.00213623	0.03479	0.0326538
0.0183105	0.045166	0.0634766
0.0448608	0.0518799	0.0967407
0.0775146	0.0549316	0.132446
0.116272	0.0540161	0.170288
0.160217	0.0500488	0.210266
0.207825	0.043335	0.25116
0.256653	0.0302124	0.286865
0.304565	0.00671387	0.311279
0.348206	-0.0268555	0.32135
0.383301	-0.0662231	0.317078
0.404968	-0.10498	0.299988
0.408936	-0.141602	0.267334
0.392761	-0.175476	0.217285
0.355835	-0.204773	0.151062
0.300293	-0.227356	0.072937
0.230713	-0.239258	-0.00854492
0.152893	-0.238953	-0.0860596
0.0723267	-0.225525	-0.153198
-0.00427246	-0.19989	-0.204163
-0.0714111	-0.16571	-0.237122
-0.123901	-0.126648	-0.250549
-0.15686	-0.0881958	-0.245056
-0.169373	-0.0540161	-0.223389
-0.163574	-0.0274658	-0.19104
-0.143127	-0.00915527	-0.152283
-0.11261	0	-0.11261
-0.0778198	0.000610352	-0.0772095
-0.0436401	-0.00579834	-0.0494385
-0.0143433	-0.0161743	-0.0305176
0.00732422	-0.027771	-0.0204468
0.020752	-0.0387573	-0.0180054
0.0265503	-0.0476074	-0.0210571
0.0265503	-0.0537109	-0.0271606
0.0216675	-0.0567627	-0.0350952
0.0146484	-0.057373	-0.0427246
0.00762939	-0.0558472	-0.0482178
0.00152588	-0.0534058	-0.0518799
-0.00244141	-0.0509644	-0.0534058
-0.00457764	-0.0488281	-0.0534058
-0.00518799	-0.0476074	-0.0527954
-0.00427246	-0.0469971	-0.0512695
-0.00305176	-0.0469971	-0.0500488
-0.00305176	-0.0469971	-0.0500488
-0.00396729	-0.0476074	-0.0515747
-0.00488281	-0.0485229	-0.0534058
-0.00549316	-0.0491333	-0.0546265
-0.00518799	-0.0497437	-0.0549316
-0.00335693	-0.050354	-0.0537109
-0.0012207	-0.0506592	-0.0518799
0.000915527	-0.0515747	-0.0506592
0.00305176	-0.0521851	-0.0491333
0.00457764	-0.0527954	-0.0482178
0.00579834	-0.0531006	-0.0473022
0.00732422	-0.0537109	-0.0463867
0.0088501	-0.0537109	-0.0448608
0.010376	-0.0540161	-0.0436401
0.0112915	-0.0543213	-0.0430298
0.0112915	-0.0543213	-0.0430298
0.0106812	-0.0540161	-0.043335
0.0106812	-0.0534058	-0.0427246
0.010376	-0.0521851	-0.0418091
0.0100708	-0.0509644	-0.0408936
0.00915527	-0.0497437	-0.0405884
0.00915527	-0.0491333	-0.039978
0.00915527	-0.0482178	-0.0390625
0.00976563	-0.0469971	-0.0372314
0.0112915	-0.0460815	-0.03479
0.0134277	-0.0457764	-0.0323486
0.0152588	-0.0454712	-0.0302124
0.0177002	-0.0457764	-0.0280762
0.020752	-0.0463867	-0.0256348
0.0241089	-0.0469971	-0.0228882
0.0271606	-0.0482178	-0.0210571
0.0308228	-0.0491333	-0.0183105
0.03479	-0.0500488	-0.0152588
0.0387573	-0.0509644	-0.012207
0.0411987	-0.0515747	-0.010376
0.0421143	-0.0521851	-0.0100708
0.0421143	-0.0521851	-0.0100708
0.0411987	-0.0518799	-0.0106812
0.039978	-0.0515747	-0.0115967
0.0393677	-0.0512695	-0.0119019
0.039978	-0.0515747	-0.0115967
0.0408936	-0.0518799	-0.0109863
