L I	L III	L II(Calc.)
-0.0299072	-0.0418091	-0.0717163
-0.0308228	-0.0411987	-0.0720215
-0.0317383	-0.0405884	-0.0723267
-0.0326538	-0.039978	-0.0726318
-0.0332642	-0.0396729	-0.072937
-0.0332642	-0.0396729	-0.072937
-0.0326538	-0.039978	-0.0726318
-0.0311279	-0.039978	-0.071106
-0.0283813	-0.039978	-0.0683594
-0.0253296	-0.0390625	-0.0643921
-0.0216675	-0.0375366	-0.0592041
-0.0177002	-0.0350952	-0.0527954
-0.0137329	-0.0314331	-0.045166
-0.0100708	-0.0271606	-0.0372314
-0.00640869	-0.0222778	-0.0286865
-0.00213623	-0.0177002	-0.0198364
0.00183105	-0.012207	-0.010376
0.00457764	-0.00671387	-0.00213623
0.00640869	-0.00152588	0.00488281
0.00823975	0.00213623	0.010376
0.0100708	0.00488281	0.0149536
0.0115967	0.00640869	0.0180054
0.0125122	0.00793457	0.0204468
0.0128174	0.00915527	0.0219727
0.0134277	0.010376	0.0238037
0.0146484	0.0119019	0.0265503
0.017395	0.0128174	0.0302124
0.0216675	0.0137329	0.0354004
0.0265503	0.0143433	0.0408936
0.0320435	0.0149536	0.0469971
0.0372314	0.015564	0.0527954
0.0421143	0.0158691	0.0579834
0.0473022	0.0149536	0.0622559
0.0524902	0.0128174	0.0653076
0.057373	0.0088501	0.0662231
0.0610352	0.00305176	0.0640869
0.0634766	-0.00396729	0.0595093
0.0637817	-0.0115967	0.0521851
0.062561	-0.0195313	0.0430298
0.0598145	-0.0268555	0.032959
0.0561523	-0.0332642	0.0228882
0.0515747	-0.0390625	0.0125122
0.0463867	-0.0439453	0.00244141
0.0408936	-0.0482178	-0.00732422
0.0350952	-0.0509644	-0.0158691
0.0283813	-0.0521851	-0.0238037
0.0204468	-0.0521851	-0.0317383
0.0125122	-0.0512695	-0.0387573
0.00488281	-0.0500488	-0.045166
-0.00183105	-0.0491333	-0.0509644
-0.00793457	-0.0491333	-0.0570679
-0.0137329	-0.0497437	-0.0634766
-0.0192261	-0.0500488	-0.0692749
-0.0241089	-0.0509644	-0.0750732
-0.027771	-0.0518799	-0.0796509
-0.0299072	-0.0534058	-0.083313
-0.0308228	-0.0546265	-0.0854492
-0.0317383	-0.0552368	-0.0869751
-0.0323486	-0.0558472	-0.0881958
-0.0323486	-0.0561523	-0.088501
-0.0320435	-0.0564575	-0.088501
-0.0311279	-0.0567627	-0.0878906
-0.0305176	-0.0570679	-0.0875854
-0.0305176	-0.057373	-0.0878906
-0.0308228	-0.0579834	-0.0888062
-0.0311279	-0.0582886	-0.0894165
-0.0314331	-0.0585938	-0.0900269
-0.0323486	-0.0592041	-0.0915527
-0.0332642	-0.0598145	-0.0930786
-0.0341797	-0.0601196	-0.0942993
-0.0350952	-0.0604248	-0.09552
-0.0360107	-0.0601196	-0.0961304
-0.0375366	-0.0592041	-0.0967407
-0.0387573	-0.0585938	-0.0973511
-0.0396729	-0.0576782	-0.0973511
-0.0402832	-0.0567627	-0.0970459
-0.0402832	-0.0561523	-0.0964355
-0.039978	-0.055542	-0.09552
-0.0393677	-0.0552368	-0.0946045
-0.0387573	-0.0552368	-0.0939941
-0.0375366	-0.0552368	-0.0927734
-0.0366211	-0.0558472	-0.0924683
-0.0357056	-0.0564575	-0.0921631
-0.0344849	-0.057373	-0.0918579
-0.0338745	-0.0582886	-0.0921631
-0.0332642	-0.0592041	-0.0924683
-0.0332642	-0.0598145	-0.0930786
-0.0341797	-0.0604248	-0.0946045
-0.0354004	-0.0604248	-0.0958252
-0.0366211	-0.0604248	-0.0970459
-0.0369263	-0.0598145	-0.0967407
-0.0366211	-0.0598145	-0.0964355
-0.0360107	-0.0601196	-0.0961304
