Stethoscope	ECG
-0.0668335	0.189209
0.00335693	0.180969
0.0561523	0.172729
0.0808716	0.163574
0.0952148	0.154114
0.10437	0.143738
0.0823975	0.133057
0.038147	0.12207
0.0271606	0.111084
0.039978	0.100403
0.0463867	0.0894165
0.0164795	0.078125
-0.0354004	0.0668335
-0.0708008	0.0564575
-0.0900269	0.0473022
-0.0662231	0.0390625
-0.0518799	0.0308228
-0.0448608	0.0228882
-0.00732422	0.0158691
0.0186157	0.0100708
0.032959	0.00549316
0.0222778	0.0012207
0.00213623	-0.00305176
-0.0201416	-0.00732422
-0.0180054	-0.0112915
-0.00274658	-0.0146484
0.0421143	-0.0177002
0.159607	-0.0204468
0.265503	-0.0234985
0.224915	-0.0256348
0.104065	-0.0268555
-0.0656128	-0.0274658
-0.253906	-0.0280762
-0.329895	-0.0286865
-0.348511	-0.0289917
-0.310364	-0.0286865
-0.228882	-0.0280762
-0.153198	-0.0271606
0.00488281	-0.0259399
0.215759	-0.0256348
0.41748	-0.0250244
0.512085	-0.0244141
0.467834	-0.0238037
0.294495	-0.0234985
0.0418091	-0.0228882
-0.193787	-0.0219727
-0.341187	-0.0213623
-0.403748	-0.0210571
-0.354309	-0.0210571
-0.215454	-0.020752
-0.0369263	-0.0204468
0.166321	-0.0204468
0.307922	-0.0201416
0.354614	-0.0192261
0.319519	-0.017395
0.170593	-0.0152588
-0.0411987	-0.0134277
-0.232544	-0.0109863
-0.332031	-0.00854492
-0.335388	-0.00671387
-0.270691	-0.00549316
-0.181885	-0.00488281
-0.0888062	-0.00366211
0.0424194	-0.00274658
0.162354	-0.00183105
0.21759	-0.00152588
0.220032	-0.00183105
0.19043	-0.00213623
0.108643	-0.00183105
0.0518799	-0.000610352
0.00335693	0.000915527
-0.0454712	0.00244141
-0.0772095	0.00274658
-0.0808716	0.00244141
-0.0476074	0.00213623
-0.0106812	0.00152588
0.0119019	0.00152588
0.0219727	0.0012207
0.0415039	0.000610352
0.0491333	-0.000305176
0.0509644	-0.000305176
0.0204468	-0.000305176
-0.0128174	-0.000915527
-0.0592041	-0.00213623
-0.067749	-0.00335693
-0.0610352	-0.00427246
-0.0442505	-0.00518799
-0.0216675	-0.00579834
0.0177002	-0.00671387
0.0585938	-0.00823975
0.090332	-0.00976563
0.0839233	-0.0100708
0.0350952	-0.00915527
-0.03479	-0.00823975
-0.108337	-0.00701904
-0.162048	-0.00640869
-0.193481	-0.00640869
-0.1474	-0.00701904
-0.0369263	-0.00762939
0.085144	-0.00854492
0.150146	-0.00976563
0.146179	-0.0109863
0.0790405	-0.012207
0.0167847	-0.0137329
-0.0198364	-0.0149536
-0.0274658	-0.015564
-0.0286865	-0.0158691
-0.0128174	-0.0158691
-0.00335693	-0.015564
0.0161743	-0.0152588
0.0259399	-0.0152588
0.0125122	-0.015564
0.0216675	-0.0167847
0.0335693	-0.0180054
0.0448608	-0.0198364
0.0509644	-0.0213623
0.0271606	-0.022583
-0.00732422	-0.0238037
-0.022583	-0.0244141
-0.0204468	-0.0250244
-0.0143433	-0.0256348
-0.0183105	-0.0262451
-0.0177002	-0.0265503
-0.00671387	-0.0262451
0.00427246	-0.0256348
0.00335693	-0.0250244
-0.020752	-0.0259399
-0.0375366	-0.0271606
-0.0418091	-0.0274658
-0.0317383	-0.0271606
-0.00640869	-0.0265503
0.012207	-0.0262451
0.0534058	-0.0262451
0.098877	-0.0265503
0.105286	-0.0265503
0.0601196	-0.0265503
-0.022583	-0.0265503
-0.126953	-0.0259399
-0.186462	-0.0247192
-0.197144	-0.0231934
-0.176392	-0.0222778
-0.127563	-0.0213623
-0.0454712	-0.0201416
0.0552368	-0.0180054
0.162964	-0.0152588
0.243225	-0.0131226
0.259399	-0.0115967
0.205688	-0.0109863
0.12085	-0.0100708
0.0244141	-0.00854492
-0.0628662	-0.00579834
-0.119934	-0.000915527
-0.143738	0.00549316
-0.140381	0.0131226
-0.0894165	0.0222778
-0.0210571	0.0320435
0.0448608	0.0411987
0.085144	0.050354
0.0878906	0.0598145
0.0772095	0.0692749
0.0384521	0.0772095
-0.00762939	0.0827026
-0.0646973	0.0854492
-0.0991821	0.0872803
-0.107422	0.0897217
-0.10498	0.0933838
-0.090332	0.0982666
-0.0799561	0.102844
-0.0439453	0.107727
0.0305176	0.112915
0.115356	0.118103
0.162659	0.122986
0.166321	0.126648
0.136414	0.128174
0.0900269	0.127563
0.0283813	0.124817
-0.0476074	0.119934
-0.105591	0.11261
-0.136719	0.102844
-0.125427	0.0924683
-0.123596	0.0811768
-0.119324	0.0692749
-0.0769043	0.0576782
0.017395	0.0460815
0.122681	0.03479
0.19043	0.0241089
0.196838	0.0140381
0.152893	0.00396729
0.0973511	-0.00579834
0.0134277	-0.0143433
-0.057373	-0.0213623
-0.137939	-0.027771
-0.193787	-0.0332642
-0.193787	-0.0375366
-0.136108	-0.0405884
-0.0421143	-0.0424194
0.0537109	-0.0439453
0.136414	-0.0445557
0.149231	-0.0445557
0.120239	-0.0442505
0.0552368	-0.0436401
-0.0323486	-0.043335
-0.102234	-0.0436401
-0.125122	-0.0448608
-0.0875854	-0.0457764
-0.0256348	-0.0457764
0.0253296	-0.0460815
0.045166	-0.0469971
0.0732422	-0.0479126
0.0866699	-0.0485229
0.0817871	-0.0488281
0.0518799	-0.0488281
0.00457764	-0.0491333
-0.0415039	-0.0494385
-0.06073	-0.0494385
-0.0668335	-0.0497437
-0.0714111	-0.0497437
-0.0485229	-0.0497437
0.00244141	-0.0494385
0.0601196	-0.0494385
0.109863	-0.0497437
0.105286	-0.0500488
0.0253296	-0.0509644
-0.0317383	-0.0515747
-0.0524902	-0.0518799
-0.0704956	-0.0518799
-0.085144	-0.0518799
-0.0997925	-0.0524902
-0.0805664	-0.0527954
-0.0180054	-0.0524902
0.0482178	-0.0515747
0.0762939	-0.0509644
0.0769043	-0.0500488
0.0686646	-0.0485229
0.0683594	-0.0469971
0.0668335	-0.045166
0.0314331	-0.0439453
-0.0366211	-0.043335
-0.0582886	-0.0436401
-0.0405884	-0.0442505
-0.0198364	-0.0448608
-0.00366211	-0.0445557
-0.00915527	-0.0418091
-0.0152588	-0.0363159
-0.00579834	-0.027771
-0.00305176	-0.0161743
-0.0241089	-0.0012207
-0.050354	0.0167847
-0.0476074	0.038147
-0.0244141	0.0628662
0.0115967	0.090332
0.039978	0.118713
0.0363159	0.148926
0.0247192	0.182495
0.022583	0.218811
0.012207	0.253296
0.0012207	0.280457
-0.000610352	0.297241
-0.000305176	0.302124
0.00823975	0.2948
0.0131226	0.274048
0.00305176	0.236816
-0.000915527	0.183105
-0.0088501	0.116577
-0.0244141	0.0439453
-0.0234985	-0.0274658
-0.0216675	-0.0909424
-0.0305176	-0.141602
-0.012207	-0.175781
0.0140381	-0.19043
0.0280762	-0.186157
0.0305176	-0.166626
0.0219727	-0.136108
0.00457764	-0.0997925
0.0238037	-0.0628662
0.0582886	-0.0296021
0.0952148	-0.00213623
0.111694	0.017395
0.0866699	0.0280762
0.0170898	0.0302124
-0.0845337	0.0265503
-0.198669	0.0189209
-0.281677	0.00976563
-0.296326	0.00183105
-0.216675	-0.00366211
-0.0680542	-0.00640869
0.0927734	-0.00762939
0.209656	-0.00793457
0.284729	-0.00701904
0.321045	-0.00549316
0.280762	-0.00366211
0.158386	-0.00152588
0.00488281	0.000305176
-0.138855	0.00213623
-0.239258	0.00274658
-0.260925	0.00213623
-0.232849	0.00152588
-0.174255	0.0012207
-0.0961304	0.000915527
0.0216675	0.000915527
0.14801	0.0012207
0.255127	0.00213623
0.295105	0.00305176
0.267944	0.00396729
0.198059	0.00549316
0.111694	0.00701904
-0.0247192	0.00854492
-0.155029	0.00946045
-0.237122	0.0109863
-0.289001	0.0128174
-0.298462	0.0143433
-0.27771	0.015564
-0.220947	0.0164795
-0.128174	0.0177002
0.00762939	0.0189209
0.146179	0.020752
0.22583	0.022583
0.245667	0.0241089
0.231323	0.0259399
0.155029	0.0274658
0.06073	0.0292969
-0.0241089	0.0317383
-0.0753784	0.0335693
-0.0759888	0.0357056
-0.0387573	0.0375366
0.0180054	0.0390625
0.0640869	0.0402832
0.057373	0.0405884
0.0396729	0.0405884
0.039978	0.0402832
0.0222778	0.0402832
-0.0167847	0.0408936
-0.0411987	0.0418091
-0.0772095	0.0430298
-0.105286	0.0448608
-0.0836182	0.0473022
-0.0439453	0.0500488
0.00610352	0.0531006
0.0817871	0.0561523
0.130615	0.0579834
0.116577	0.0592041
0.0561523	0.06073
-0.0531006	0.0619507
-0.158691	0.0631714
-0.222168	0.0643921
-0.213623	0.065918
-0.155029	0.067749
-0.0686646	0.0695801
0.0286865	0.0720215
0.136719	0.0741577
0.222168	0.0769043
0.230408	0.0793457
0.189209	0.0817871
0.148315	0.0842285
0.0839233	0.0860596
-0.0115967	0.0881958
-0.0793457	0.0906372
-0.151367	0.093689
-0.166626	0.0967407
-0.134277	0.0997925
-0.0967407	0.103149
-0.0799561	0.107727
-0.0482178	0.11261
-0.0137329	0.117188
0.0396729	0.12085
0.0830078	0.124512
0.117798	0.128479
0.111694	0.132446
0.108032	0.136719
0.0949097	0.140686
0.0326538	0.144958
-0.0238037	0.149536
-0.0689697	0.154114
-0.09552	0.158691
-0.0680542	0.162659
-0.0222778	0.166321
-0.0311279	0.169983
-0.0192261	0.17395
-0.00335693	0.178223
0.00549316	0.18219
0.0326538	0.185547
0.0494385	0.188904
0.0317383	0.191956
-0.0143433	0.195313
-0.0256348	0.199585
-0.0378418	0.203857
-0.0219727	0.207825
-0.0244141	0.212097
-0.0180054	0.21637
0.0332642	0.220337
0.0820923	0.223389
0.0671387	0.22583
0.0109863	0.227966
-0.0454712	0.228882
-0.112305	0.229797
-0.098877	0.229797
-0.0750732	0.228882
-0.043335	0.227051
-0.00518799	0.224304
0.0479126	0.220947
0.0906372	0.216675
0.12085	0.212097
0.112305	0.206909
0.0836182	0.201416
0.0482178	0.195313
0.00457764	0.188599
-0.043335	0.180969
-0.108032	0.172119
-0.0854492	0.162354
-0.0357056	0.151672
-0.00183105	0.140686
0.0161743	0.1297
0.00915527	0.118713
0.0271606	0.107727
0.0134277	0.0970459
0.00244141	0.0860596
-0.015564	0.0753784
-0.0341797	0.0656128
-0.0469971	0.0564575
-0.0506592	0.0479126
-0.0247192	0.0393677
-0.0512695	0.0314331
-0.0515747	0.0238037
-0.00152588	0.0170898
0.0366211	0.0112915
0.0921631	0.00549316
0.104065	0
0.0634766	-0.00457764
0.000610352	-0.00762939
-0.0256348	-0.010376
-0.0439453	-0.0128174
-0.045166	-0.0149536
0.0488281	-0.0170898
0.171509	-0.0192261
0.218811	-0.0219727
0.209656	-0.0247192
0.102539	-0.0262451
-0.067749	-0.0271606
-0.229187	-0.027771
-0.335083	-0.0283813
-0.376282	-0.0286865
-0.400085	-0.0283813
-0.306396	-0.0268555
-0.133057	-0.0253296
0.0939941	-0.0238037
0.378113	-0.0231934
0.547485	-0.022583
0.567932	-0.0219727
0.463562	-0.0213623
0.204163	-0.0210571
-0.0982666	-0.0210571
-0.372009	-0.020752
-0.522766	-0.020752
-0.497742	-0.0201416
-0.329895	-0.0189209
-0.103455	-0.017395
0.0765991	-0.0164795
0.184631	-0.0158691
0.271606	-0.0152588
0.334473	-0.0146484
0.314941	-0.0137329
0.242615	-0.0131226
0.0973511	-0.0125122
-0.0662231	-0.0119019
-0.209656	-0.0119019
-0.277405	-0.0112915
-0.265198	-0.00976563
-0.192261	-0.00823975
-0.0927734	-0.00732422
-0.00183105	-0.00640869
0.0772095	-0.00579834
0.0900269	-0.00579834
0.0613403	-0.00579834
0.0238037	-0.00579834
0.0213623	-0.00549316
0.0354004	-0.00518799
0.0286865	-0.00457764
0.0265503	-0.00396729
0.0195313	-0.00366211
0.0262451	-0.00335693
0.0567627	-0.00305176
0.0476074	-0.00213623
0.00854492	-0.00152588
-0.0375366	-0.000610352
-0.0360107	0.000305176
-0.00946045	0.000915527
-0.020752	0.000915527
-0.0247192	0.000915527
-0.0256348	0.000305176
-0.0354004	-0.000610352
-0.0308228	-0.00183105
-0.0280762	-0.00274658
-0.0192261	-0.00366211
0.00610352	-0.00427246
0.0616455	-0.00579834
0.119019	-0.00793457
0.121765	-0.00946045
0.0646973	-0.0100708
-0.0109863	-0.0109863
-0.0802612	-0.0119019
-0.12146	-0.0128174
-0.147705	-0.0137329
-0.134277	-0.0140381
-0.0570679	-0.0146484
0.0222778	-0.0149536
0.0918579	-0.0158691
0.122375	-0.0164795
0.112915	-0.0167847
0.0857544	-0.0170898
0.0500488	-0.0177002
0.00549316	-0.0177002
-0.055542	-0.0183105
-0.119019	-0.0192261
-0.142822	-0.0201416
-0.0894165	-0.0204468
-0.00396729	-0.0204468
0.0613403	-0.020752
0.0875854	-0.020752
0.0881958	-0.0210571
0.0756836	-0.0213623
0.0375366	-0.0210571
-0.00946045	-0.020752
-0.0601196	-0.0204468
-0.0878906	-0.0204468
-0.062561	-0.0210571
-0.00610352	-0.0213623
0.0256348	-0.0216675
0.0228882	-0.0222778
0.00823975	-0.0228882
0.0137329	-0.0234985
0.0213623	-0.0241089
-0.00671387	-0.0250244
-0.0308228	-0.0250244
-0.038147	-0.0250244
-0.0180054	-0.0247192
0.0280762	-0.0250244
0.0344849	-0.0256348
0.012207	-0.0262451
-0.00488281	-0.0265503
-0.0204468	-0.0262451
-0.012207	-0.0262451
0.0314331	-0.0265503
0.0488281	-0.0268555
0.0314331	-0.0271606
0.0259399	-0.0268555
0.0250244	-0.0259399
0.0088501	-0.0253296
-0.00640869	-0.0244141
-0.0479126	-0.0234985
-0.0946045	-0.022583
-0.0915527	-0.020752
-0.0695801	-0.0177002
-0.057373	-0.0134277
-0.010376	-0.00793457
0.0643921	-0.000915527
0.122375	0.00732422
0.122986	0.0164795
0.0662231	0.0265503
0.0268555	0.0366211
-0.000305176	0.0463867
-0.0152588	0.055542
-0.0430298	0.0631714
-0.0772095	0.0689697
-0.0891113	0.0735474
-0.0753784	0.0772095
-0.0189209	0.0808716
0.0274658	0.0845337
0.0552368	0.0881958
0.0515747	0.0921631
0.0238037	0.0973511
0.0128174	0.103149
-0.0183105	0.108643
-0.0421143	0.11261
-0.0415039	0.114746
-0.0167847	0.115356
0.0320435	0.11322
0.0531006	0.108643
0.057373	0.102234
0.0546265	0.0939941
0.0762939	0.0845337
0.0820923	0.0741577
0.0320435	0.0634766
-0.0354004	0.0534058
-0.104675	0.0442505
-0.152893	0.0354004
-0.174561	0.0265503
-0.160217	0.0177002
-0.101624	0.00823975
-0.0158691	-0.00213623
0.0894165	-0.0119019
0.144958	-0.020752
0.166321	-0.0289917
0.151367	-0.0366211
0.119019	-0.043335
0.0906372	-0.0488281
0.0375366	-0.0524902
-0.0250244	-0.0549316
-0.104065	-0.0564575
-0.15686	-0.0570679
-0.168152	-0.0570679
-0.132141	-0.0570679
-0.0653076	-0.0570679
-0.0143433	-0.057373
0.055542	-0.057373
0.115356	-0.0576782
0.150146	-0.0585938
0.137634	-0.0592041
0.0888062	-0.0595093
0.0527954	-0.0598145
0.0112915	-0.0601196
-0.0140381	-0.0601196
-0.0317383	-0.0601196
-0.0738525	-0.0601196
-0.122681	-0.0604248
-0.151367	-0.0613403
-0.135498	-0.0619507
-0.0842285	-0.0616455
-0.0238037	-0.06073
0.0506592	-0.0604248
0.0949097	-0.0601196
0.111694	-0.0598145
0.0906372	-0.0592041
0.0299072	-0.0585938
-0.0149536	-0.0579834
-0.0280762	-0.0576782
-0.00854492	-0.0570679
0.0152588	-0.0567627
0.00793457	-0.0567627
0.0106812	-0.0567627
0.032959	-0.0564575
0.0497437	-0.0558472
0.0256348	-0.0552368
-0.0289917	-0.0552368
-0.0582886	-0.0552368
-0.0378418	-0.0552368
-0.0109863	-0.0549316
0.0131226	-0.0543213
0.00549316	-0.0540161
-0.0222778	-0.0540161
-0.0344849	-0.0543213
-0.0350952	-0.0546265
-0.0476074	-0.0552368
-0.0537109	-0.0543213
-0.0170898	-0.0509644
0.0262451	-0.0442505
0.0616455	-0.03479
0.0848389	-0.0228882
0.0671387	-0.00793457
0.0238037	0.00854492
0.00244141	0.0268555
0.00274658	0.0469971
0.0115967	0.0695801
0.0332642	0.0946045
0.0320435	0.122986
-0.0146484	0.155945
-0.0604248	0.192261
-0.09552	0.22583
-0.0994873	0.250854
-0.0643921	0.265503
-0.0286865	0.269165
0.00488281	0.261536
0.0308228	0.240479
0.0238037	0.203247
0.00396729	0.150757
0.0183105	0.0866699
0.0454712	0.017395
0.0521851	-0.0494385
0.0796509	-0.107422
0.0848389	-0.151062
0.0488281	-0.176697
0.0192261	-0.184021
-0.0143433	-0.176392
-0.0799561	-0.155945
-0.132446	-0.126038
-0.148926	-0.0909424
-0.101318	-0.0564575
0.00640869	-0.0259399
0.0830078	-0.00213623
0.138855	0.0134277
0.140991	0.0210571
0.0964355	0.0222778
0.00274658	0.0186157
-0.0863647	0.0119019
-0.138245	0.00366211
-0.0915527	-0.00335693
0.00854492	-0.0088501
0.0958252	-0.0131226
0.0964355	-0.0158691
0.0494385	-0.0170898
0.0149536	-0.017395
-0.00274658	-0.0170898
-0.027771	-0.0167847
-0.0588989	-0.0158691
-0.0991821	-0.0140381
-0.112305	-0.0115967
-0.0949097	-0.00854492
-0.103149	-0.00579834
-0.0985718	-0.00335693
-0.0665283	-0.000610352
-0.0177002	0.00213623
0.0982666	0.00518799
0.212402	0.00732422
0.274353	0.0088501
0.272827	0.00946045
0.218506	0.00946045
0.128174	0.00915527
0.00610352	0.0088501
-0.129395	0.00823975
-0.257874	0.00793457
-0.291443	0.00823975
-0.260315	0.00946045
-0.194092	0.0109863
-0.0875854	0.0131226
0.0421143	0.015564
0.133362	0.0183105
0.206299	0.020752
0.223083	0.022583
0.170288	0.0238037
0.0830078	0.0241089
-0.0183105	0.0241089
-0.0872803	0.0244141
-0.148315	0.0247192
-0.177612	0.0250244
-0.175476	0.0256348
-0.123291	0.0265503
-0.0531006	0.0283813
0.0177002	0.0308228
0.0750732	0.0332642
0.124512	0.0354004
0.17395	0.0372314
0.166016	0.0390625
0.130005	0.0408936
0.065918	0.0418091
0.0109863	0.0415039
-0.0320435	0.0411987
-0.0546265	0.0408936
-0.0628662	0.0415039
-0.0918579	0.0427246
-0.10437	0.0439453
-0.104065	0.045166
-0.0793457	0.0466919
-0.0375366	0.0482178
-0.00366211	0.050354
0.0363159	0.0524902
0.0765991	0.0546265
0.100403	0.0564575
0.108643	0.0579834
0.0799561	0.0598145
0.0234985	0.06073
-0.0189209	0.0622559
-0.0524902	0.0646973
-0.0579834	0.0683594
-0.0653076	0.0717163
-0.0598145	0.0750732
-0.0195313	0.078125
0.00946045	0.0814819
0.0238037	0.085144
0.0231934	0.0891113
0.0100708	0.0927734
0.0140381	0.0961304
0.022583	0.0994873
0.000915527	0.103149
-0.0442505	0.107422
-0.0543213	0.111694
-0.0216675	0.116577
0.0143433	0.121155
0.0274658	0.125732
0.00976563	0.1297
-0.00579834	0.133972
-0.017395	0.13855
-0.0125122	0.143127
0.00732422	0.147095
0.0323486	0.150146
0.0158691	0.153198
0.00610352	0.15625
0.0274658	0.159607
0.0210571	0.163269
0.0253296	0.167236
0.0427246	0.171814
0.0344849	0.175781
0.0134277	0.179443
-0.0320435	0.183411
-0.0906372	0.187378
-0.104065	0.19165
-0.0689697	0.196228
-0.0305176	0.19989
-0.00518799	0.202942
0.0259399	0.206604
0.0439453	0.210571
0.0723267	0.214233
0.0888062	0.217285
0.0567627	0.219421
0.0119019	0.221558
-0.0112915	0.223389
-0.0186157	0.224609
-0.0106812	0.225525
-0.00823975	0.22522
-0.0436401	0.224304
-0.0601196	0.222473
-0.0534058	0.220337
-0.0604248	0.21698
-0.0402832	0.212708
0.00366211	0.20813
0.0088501	0.203247
0.0244141	0.196838
0.0646973	0.189514
0.0863647	0.181885
0.0842285	0.17395
0.0457764	0.1651
0.00274658	0.15564
-0.00579834	0.145569
-0.0332642	0.135193
-0.0671387	0.124207
-0.0582886	0.113525
-0.0305176	0.102844
-0.00457764	0.0924683
0.00335693	0.0827026
0.00976563	0.0738525
0.0241089	0.0656128
0.0241089	0.057373
0.0253296	0.0491333
0.0466919	0.0411987
0.0186157	0.032959
-0.0485229	0.0247192
-0.0808716	0.017395
-0.0753784	0.010376
-0.0683594	0.00396729
-0.0280762	-0.00244141
0.0442505	-0.00823975
0.0805664	-0.0128174
0.0683594	-0.0158691
0.00915527	-0.0183105
-0.0741577	-0.0198364
-0.0674438	-0.0210571
